Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Justanolive,0,,,false,,Marcy,3,,,false
B,,Keucher,3,,,false,,Randomguest,1,,,false
C,,willyjwillyj,0,,,false,,Marcy,3,,,false
D,,Jaq,1,,,false,,Bradley0104,3,,,false
E,,HeartOfOak,3,,,false,,Keucher,2,,,false
F,,Amity,2,,,false,,Mrlink2k,3,,,false
G,,Marcy,3,,,false,,Bradley0104,2,,,false
H,,HeartOfOak,0,,,false,,Mrlink2k,3,,,false
I,,Marcy,0,,,false,,Mrlink2k,3,,,false
L,,Amity,3,,,false,,Justanolive,1,,,false
M,,Jaq,3,,,false,,Randomguest,1,,,false
N,,Keucher,3,,,false,,Amity,2,,,false
O,,willyjwillyj,3,,,false,,Jaq,1,,,false
P,,Bradley0104,1,,,false,,Keucher,3,,,false
Q,,HeartOfOak,3,,,false,,willyjwillyj,2,,,false
R,,Keucher,3,,,false,,HeartOfOak,1,,,false
S,,Marcy,3,,,false,,Keucher,0,,,false
J,,Mrlink2k,3,,,false,,Marcy,0,,,false
